Reclamação1;Reclamação2;Comentario
sim;sim;Muito bom o App. Sugiro uma melhoria na aba transferencias. As favotitas nao gravam o tipo de transferencia anteriormente solicitada.
NÃO;NÃO;excelente
NÃO;NÃO;Muito eficiente e rápido
NÃO;NÃO;muito útil no dia a dia!!!!!
NÃO;NÃO;estou gostando muito, pois é bem prático e fácil de usar. satisfaz minhas necessidades.
NÃO;NÃO;fácil e rápido de usar
NÃO;NÃO;excelente
NÃO;NÃO;muito bom
NÃO;NÃO;muito bom
NÃO;NÃO;muito bom estou gostando Muito!
SIM;NÃO;Ficou mais bonito. Porém mais lento.
NÃO;NÃO;Ótimo
NÃO;NÃO;Muito bom
NÃO;NÃO;Facilidade e segurança.
NÃO;NÃO;Rápido, seguro e super eficiente!
NÃO;NÃO;Muito bom, nos ajuda muito na correria do cotidiano.
NÃO;NÃO;Bom
NÃO;NÃO;Muito bom
SIM;NÃO;Ruim
NÃO;NÃO;Bom aplicativo
SIM;NÃO;Legal, mais o aplicativo podia ser mais acessível para nós pessoas com deficiência.
NÃO;NÃO;Aplicativo muito bom
NÃO;NÃO;Muito bom, recomendo.
NÃO;NÃO;ótimo aplicativo...
NÃO;NÃO;Muito bom
nÃO;Não;Bom
nÃO;Não;Estou adorando.
nÃO;Não;Muito bom o aplicativo.
nÃO;Não;Otima
nÃO;Não;Rapido eficaz seguro
nÃO;Não;Oliveira cuas4
nÃO;Não;Estando com internet e dinheiro, problema resolvido.
nÃO;Não;Muita praticidade, facilita o financeiro
SIM;Não;Não consigo abrir conta empresarial, todas as vezes trava e não sai de uma tela com fundo branco. Já tentei com meus dois celulares e é a mesma coisa. Corrijam esse erro, por favor!!!
nÃO;Não;Otimo
nÃO;Não;Estou usando o App a pouco tempo mas estou gostando!!!
nÃO;Não;Bom demais
nÃO;Não;Na minha opinião, um excelente aplicativo. Ajuda muito nos poupando tempo. Se continuar assim pra mim já está bom. Só pra ajudar um pouquinho mais, acho que nas mensagens deveria vir dicas de como usar o nosso dinheiro de maneira mais inteligente.
nÃO;Não;Ótimo
nÃO;Não;Ótimo parabéns o Banco do Brasil super recomendo
nÃO;Não;otimoo
nÃO;Não;Muito prático e fácil
nÃO;Não;Muito bom!
nÃO;Não;Muito bom recomendo este aplicativo
nÃO;Não;Funciona super bem no meu telefone e não trava. Sempre vejo meu saldo e tbm faço tranferências para outras contas em outros bancos e tudo funciona super bem.
nÃO;Não;Praticidade, consigo resolver muita coisa pelo aplicativo
SIM;Não;Péssimo para investimentos. Pessimo pra qualquer transação financeira, sobretudo aquelas que demandam QR CODE. precisa melhorar! No chat com o gerente, as respostas demoram a aparecer. Preciso sair e entrar no aplicativo 2 ou 3 vezes pra conseguir ler a resposta do gerente!
nÃO;Não;Bom
nÃO;Não;Otima
nÃO;Não;Muito bom app agente não precisa sair de casa pra pagar água e nem energia pago tudo aqui mesmo nota 1000
Não;Não;Muito bom O App é nota10
Não;Não;Muito bom
Não;Não;O BB está de Parabéns. O App é muito prático, ágil e eficiente. Obrigado.
Não;Não;Muito itei
Não;Não;Muito bom
Não;Não;Bom
Não;Não;Facil de usar!!
Não;Não;Gosto muito. Muito prático
Não;Não;Bom
Não;Não;Exatamente banco. ótimo aplicativo pra pagar contas e fazer suas transferências
