;Ano;Unidade da Federação;Tipo de esgotamento sanitário;% moradores em domicílios particulares permanentes
0;2004.0;Rondônia;Rede coletora;3.4
1;2004.0;Rondônia;Fossa séptica;39.7
2;2004.0;Rondônia;Fossa rudimentar;51.5
3;2004.0;Rondônia;Vala;1.7
4;2004.0;Rondônia;Direto para rio, lago ou mar;1.0
5;2004.0;Rondônia;Outro tipo;0.0
6;2004.0;Rondônia;Não tinham;2.6
7;2004.0;Acre;Rede coletora;23.8
8;2004.0;Acre;Fossa séptica;29.8
9;2004.0;Acre;Fossa rudimentar;19.9
10;2004.0;Acre;Vala;14.6
11;2004.0;Acre;Direto para rio, lago ou mar;4.7
12;2004.0;Acre;Outro tipo;0.0
13;2004.0;Acre;Não tinham;7.2
14;2004.0;Amazonas;Rede coletora;5.0
15;2004.0;Amazonas;Fossa séptica;60.2
16;2004.0;Amazonas;Fossa rudimentar;22.7
17;2004.0;Amazonas;Vala;3.9
18;2004.0;Amazonas;Direto para rio, lago ou mar;3.0
19;2004.0;Amazonas;Outro tipo;0.2
20;2004.0;Amazonas;Não tinham;5.0
21;2004.0;Roraima;Rede coletora;5.1
22;2004.0;Roraima;Fossa séptica;84.8
23;2004.0;Roraima;Fossa rudimentar;8.0
24;2004.0;Roraima;Vala;0.0
25;2004.0;Roraima;Direto para rio, lago ou mar;0.1
26;2004.0;Roraima;Outro tipo;0.0
27;2004.0;Roraima;Não tinham;2.0
28;2004.0;Pará;Rede coletora;3.4
29;2004.0;Pará;Fossa séptica;63.4
30;2004.0;Pará;Fossa rudimentar;26.4
31;2004.0;Pará;Vala;1.6
32;2004.0;Pará;Direto para rio, lago ou mar;0.8
33;2004.0;Pará;Outro tipo;0.0
34;2004.0;Pará;Não tinham;4.3
35;2004.0;Amapá;Rede coletora;4.5
36;2004.0;Amapá;Fossa séptica;13.3
37;2004.0;Amapá;Fossa rudimentar;60.6
38;2004.0;Amapá;Vala;7.6
39;2004.0;Amapá;Direto para rio, lago ou mar;11.7
40;2004.0;Amapá;Outro tipo;0.0
41;2004.0;Amapá;Não tinham;2.2
42;2004.0;Tocantins;Rede coletora;4.7
43;2004.0;Tocantins;Fossa séptica;32.8
44;2004.0;Tocantins;Fossa rudimentar;57.3
45;2004.0;Tocantins;Vala;0.0
46;2004.0;Tocantins;Direto para rio, lago ou mar;0.0
47;2004.0;Tocantins;Outro tipo;0.0
48;2004.0;Tocantins;Não tinham;5.1
49;2004.0;Maranhão;Rede coletora;15.4
50;2004.0;Maranhão;Fossa séptica;46.3
51;2004.0;Maranhão;Fossa rudimentar;19.6
52;2004.0;Maranhão;Vala;1.7
53;2004.0;Maranhão;Direto para rio, lago ou mar;1.8
54;2004.0;Maranhão;Outro tipo;0.2
55;2004.0;Maranhão;Não tinham;14.9
