Unidade da Federação,"Direto para rio, lago ou mar",Fossa rudimentar,Fossa séptica,Não tinham,Outro tipo,Rede coletora,Vala
Acre,2.8,12.3,34.6,4.2,0.0,37.8,8.2
Alagoas,2.9,15.7,21.9,0.6,0.1,55.8,2.9
Amapá,11.1,66.7,11.5,3.1,0.0,5.7,1.9
Amazonas,9.0,8.1,47.0,2.1,0.5,30.5,2.8
Bahia,0.5,17.1,28.2,0.1,0.0,53.4,0.7
Ceará,0.2,0.9,93.7,1.7,0.3,3.3,0.0
Distrito Federal,0.0,2.8,9.7,0.1,0.0,87.4,0.0
Espírito Santo,3.8,2.1,4.9,0.3,0.1,87.6,1.1
Goiás,0.0,18.6,32.7,0.1,0.0,48.5,0.0
Maranhão,0.5,13.7,15.0,0.5,0.1,69.3,0.9
Mato Grosso,0.1,38.8,35.1,0.3,0.0,25.5,0.2
Mato Grosso do Sul,0.0,46.6,10.7,0.2,0.0,42.5,0.0
Minas Gerais,2.2,5.3,2.9,0.2,0.0,89.2,0.2
Paraná,0.2,10.5,16.4,0.2,0.0,72.5,0.2
Paraíba,0.1,30.0,40.5,0.4,0.0,28.4,0.6
Pará,0.6,21.1,67.9,1.6,0.1,6.4,2.3
Pernambuco,0.1,15.3,22.4,0.5,0.1,59.7,1.8
Piauí,0.4,17.9,48.9,8.5,0.2,21.8,2.4
Rio Grande do Norte,0.9,33.9,20.0,0.7,0.0,43.8,0.7
Rio Grande do Sul,1.0,4.7,47.8,0.2,0.1,45.0,1.2
Rio de Janeiro,1.7,1.4,12.1,0.2,0.1,82.6,1.8
Rondônia,0.3,43.7,45.2,0.6,0.0,10.1,0.1
Roraima,0.0,0.5,66.9,0.1,0.7,31.7,0.1
Santa Catarina,0.4,5.7,50.6,0.2,0.1,42.8,0.3
Sergipe,0.3,32.0,36.3,0.5,0.0,26.4,4.5
São Paulo,0.9,1.1,3.7,0.1,0.0,93.9,0.2
Tocantins,0.1,28.2,41.0,0.2,0.0,30.5,0.0
