,Ano,Unidade da Federação,Tipo de esgotamento sanitário,% moradores em domicílios particulares permanentes
0,2004.0,Rondônia,Rede coletora,3.4
1,,,Fossa séptica,39.7
2,,,Fossa rudimentar,51.5
3,,,Vala,1.7
4,,,"Direto para rio, lago ou mar",1.0
5,,,Outro tipo,0.0
6,,,Não tinham,2.6
7,,Acre,Rede coletora,23.8
8,,,Fossa séptica,29.8
9,,,Fossa rudimentar,19.9
10,,,Vala,14.6
11,,,"Direto para rio, lago ou mar",4.7
12,,,Outro tipo,0.0
13,,,Não tinham,7.2
14,,Amazonas,Rede coletora,5.0
15,,,Fossa séptica,60.2
16,,,Fossa rudimentar,22.7
17,,,Vala,3.9
18,,,"Direto para rio, lago ou mar",3.0
19,,,Outro tipo,0.2
20,,,Não tinham,5.0
21,,Roraima,Rede coletora,5.1
22,,,Fossa séptica,84.8
23,,,Fossa rudimentar,8.0
24,,,Vala,0.0
25,,,"Direto para rio, lago ou mar",0.1
26,,,Outro tipo,0.0
27,,,Não tinham,2.0
28,,Pará,Rede coletora,3.4
29,,,Fossa séptica,63.4
30,,,Fossa rudimentar,26.4
31,,,Vala,1.6
32,,,"Direto para rio, lago ou mar",0.8
33,,,Outro tipo,0.0
34,,,Não tinham,4.3
35,,Amapá,Rede coletora,4.5
36,,,Fossa séptica,13.3
37,,,Fossa rudimentar,60.6
38,,,Vala,7.6
39,,,"Direto para rio, lago ou mar",11.7
40,,,Outro tipo,0.0
41,,,Não tinham,2.2
42,,Tocantins,Rede coletora,4.7
43,,,Fossa séptica,32.8
44,,,Fossa rudimentar,57.3
45,,,Vala,0.0
46,,,"Direto para rio, lago ou mar",0.0
47,,,Outro tipo,0.0
48,,,Não tinham,5.1
49,,Maranhão,Rede coletora,15.4
50,,,Fossa séptica,46.3
51,,,Fossa rudimentar,19.6
52,,,Vala,1.7
53,,,"Direto para rio, lago ou mar",1.8
54,,,Outro tipo,0.2
55,,,Não tinham,14.9
56,,Piauí,Rede coletora,5.3
57,,,Fossa séptica,68.3
58,,,Fossa rudimentar,13.9
59,,,Vala,0.0
60,,,"Direto para rio, lago ou mar",0.3
61,,,Outro tipo,0.3
62,,,Não tinham,11.9
63,,Ceará,Rede coletora,30.5
64,,,Fossa séptica,16.5
65,,,Fossa rudimentar,45.1
66,,,Vala,0.3
67,,,"Direto para rio, lago ou mar",1.4
68,,,Outro tipo,0.0
69,,,Não tinham,6.2
70,,Rio Grande do Norte,Rede coletora,17.7
71,,,Fossa séptica,43.3
72,,,Fossa rudimentar,35.5
73,,,Vala,0.8
74,,,"Direto para rio, lago ou mar",0.6
75,,,Outro tipo,0.0
76,,,Não tinham,2.1
77,,Paraíba,Rede coletora,37.6
78,,,Fossa séptica,28.2
79,,,Fossa rudimentar,26.9
80,,,Vala,2.2
81,,,"Direto para rio, lago ou mar",1.6
82,,,Outro tipo,0.3
83,,,Não tinham,3.2
84,,Pernambuco,Rede coletora,43.3
85,,,Fossa séptica,4.1
86,,,Fossa rudimentar,41.6
87,,,Vala,2.7
88,,,"Direto para rio, lago ou mar",4.7
89,,,Outro tipo,0.5
90,,,Não tinham,3.1
91,,Alagoas,Rede coletora,6.8
92,,,Fossa séptica,10.8
93,,,Fossa rudimentar,74.0
94,,,Vala,3.2
95,,,"Direto para rio, lago ou mar",1.4
96,,,Outro tipo,0.3
97,,,Não tinham,3.6
98,,Sergipe,Rede coletora,58.5
99,,,Fossa séptica,27.2
100,,,Fossa rudimentar,11.1
101,,,Vala,1.1
102,,,"Direto para rio, lago ou mar",0.3
103,,,Outro tipo,0.0
104,,,Não tinham,1.9
105,,Bahia,Rede coletora,54.5
106,,,Fossa séptica,11.2
107,,,Fossa rudimentar,24.9
108,,,Vala,1.8
109,,,"Direto para rio, lago ou mar",2.4
110,,,Outro tipo,0.1
111,,,Não tinham,5.1
112,,Minas Gerais,Rede coletora,86.1
113,,,Fossa séptica,1.3
114,,,Fossa rudimentar,9.6
115,,,Vala,0.3
116,,,"Direto para rio, lago ou mar",2.0
117,,,Outro tipo,0.1
118,,,Não tinham,0.7
119,,Espírito Santo,Rede coletora,68.9
120,,,Fossa séptica,17.7
121,,,Fossa rudimentar,7.4
122,,,Vala,2.9
123,,,"Direto para rio, lago ou mar",2.0
124,,,Outro tipo,0.0
125,,,Não tinham,1.0
126,,Rio de Janeiro,Rede coletora,58.6
127,,,Fossa séptica,30.6
128,,,Fossa rudimentar,2.6
129,,,Vala,4.5
130,,,"Direto para rio, lago ou mar",2.9
131,,,Outro tipo,0.4
132,,,Não tinham,0.4
133,,São Paulo,Rede coletora,89.6
134,,,Fossa séptica,3.4
135,,,Fossa rudimentar,2.5
136,,,Vala,0.8
137,,,"Direto para rio, lago ou mar",3.5
138,,,Outro tipo,0.0
139,,,Não tinham,0.2
140,,Paraná,Rede coletora,48.3
141,,,Fossa séptica,26.1
142,,,Fossa rudimentar,23.1
143,,,Vala,0.5
144,,,"Direto para rio, lago ou mar",1.2
145,,,Outro tipo,0.0
146,,,Não tinham,1.0
147,,Santa Catarina,Rede coletora,18.0
148,,,Fossa séptica,70.4
149,,,Fossa rudimentar,7.8
150,,,Vala,0.5
151,,,"Direto para rio, lago ou mar",2.7
152,,,Outro tipo,0.0
153,,,Não tinham,0.6
154,,Rio Grande do Sul,Rede coletora,13.1
155,,,Fossa séptica,75.1
156,,,Fossa rudimentar,9.4
157,,,Vala,1.0
158,,,"Direto para rio, lago ou mar",0.6
159,,,Outro tipo,0.0
160,,,Não tinham,0.8
161,,Mato Grosso do Sul,Rede coletora,9.0
162,,,Fossa séptica,3.3
163,,,Fossa rudimentar,86.9
164,,,Vala,0.2
165,,,"Direto para rio, lago ou mar",0.1
166,,,Outro tipo,0.0
167,,,Não tinham,0.6
168,,Mato Grosso,Rede coletora,13.9
169,,,Fossa séptica,33.1
170,,,Fossa rudimentar,50.1
171,,,Vala,0.5
172,,,"Direto para rio, lago ou mar",0.0
173,,,Outro tipo,0.0
174,,,Não tinham,2.4
175,,Goiás,Rede coletora,33.2
176,,,Fossa séptica,2.0
177,,,Fossa rudimentar,63.4
178,,,Vala,0.0
179,,,"Direto para rio, lago ou mar",0.4
180,,,Outro tipo,0.1
181,,,Não tinham,0.9
182,,Distrito Federal,Rede coletora,86.2
183,,,Fossa séptica,10.7
184,,,Fossa rudimentar,2.7
185,,,Vala,0.1
186,,,"Direto para rio, lago ou mar",0.0
187,,,Outro tipo,0.0
188,,,Não tinham,0.2
189,2005.0,Rondônia,Rede coletora,2.4
190,,,Fossa séptica,54.8
191,,,Fossa rudimentar,39.6
192,,,Vala,1.1
193,,,"Direto para rio, lago ou mar",0.4
194,,,Outro tipo,0.1
195,,,Não tinham,1.6
196,,Acre,Rede coletora,23.5
197,,,Fossa séptica,32.8
198,,,Fossa rudimentar,22.3
199,,,Vala,14.2
200,,,"Direto para rio, lago ou mar",2.9
201,,,Outro tipo,0.0
202,,,Não tinham,4.3
203,,Amazonas,Rede coletora,2.6
204,,,Fossa séptica,60.4
205,,,Fossa rudimentar,24.5
206,,,Vala,1.7
207,,,"Direto para rio, lago ou mar",8.1
208,,,Outro tipo,0.0
209,,,Não tinham,2.9
210,,Roraima,Rede coletora,11.2
211,,,Fossa séptica,72.1
212,,,Fossa rudimentar,13.6
213,,,Vala,1.2
214,,,"Direto para rio, lago ou mar",0.3
215,,,Outro tipo,0.0
216,,,Não tinham,1.5
217,,Pará,Rede coletora,4.2
218,,,Fossa séptica,64.2
219,,,Fossa rudimentar,23.6
220,,,Vala,1.4
221,,,"Direto para rio, lago ou mar",0.8
222,,,Outro tipo,0.1
223,,,Não tinham,5.6
224,,Amapá,Rede coletora,1.0
225,,,Fossa séptica,59.4
226,,,Fossa rudimentar,23.0
227,,,Vala,3.2
228,,,"Direto para rio, lago ou mar",12.6
229,,,Outro tipo,0.0
230,,,Não tinham,0.8
231,,Tocantins,Rede coletora,7.2
232,,,Fossa séptica,24.0
233,,,Fossa rudimentar,63.9
234,,,Vala,0.8
235,,,"Direto para rio, lago ou mar",0.4
236,,,Outro tipo,0.0
237,,,Não tinham,3.7
238,,Maranhão,Rede coletora,10.9
239,,,Fossa séptica,55.0
240,,,Fossa rudimentar,16.1
241,,,Vala,2.1
242,,,"Direto para rio, lago ou mar",0.9
243,,,Outro tipo,0.2
244,,,Não tinham,14.7
245,,Piauí,Rede coletora,5.8
246,,,Fossa séptica,71.6
247,,,Fossa rudimentar,12.2
248,,,Vala,0.3
249,,,"Direto para rio, lago ou mar",0.0
250,,,Outro tipo,0.1
251,,,Não tinham,10.0
252,,Ceará,Rede coletora,27.2
253,,,Fossa séptica,23.1
254,,,Fossa rudimentar,41.7
255,,,Vala,1.3
256,,,"Direto para rio, lago ou mar",1.0
257,,,Outro tipo,0.2
258,,,Não tinham,5.6
259,,Rio Grande do Norte,Rede coletora,18.4
260,,,Fossa séptica,49.3
261,,,Fossa rudimentar,29.0
262,,,Vala,0.9
263,,,"Direto para rio, lago ou mar",0.3
264,,,Outro tipo,0.1
265,,,Não tinham,2.0
266,,Paraíba,Rede coletora,43.6
267,,,Fossa séptica,19.8
268,,,Fossa rudimentar,29.1
269,,,Vala,3.2
270,,,"Direto para rio, lago ou mar",1.2
271,,,Outro tipo,0.1
272,,,Não tinham,3.0
273,,Pernambuco,Rede coletora,45.2
274,,,Fossa séptica,4.7
275,,,Fossa rudimentar,39.7
276,,,Vala,2.9
277,,,"Direto para rio, lago ou mar",4.4
278,,,Outro tipo,0.5
279,,,Não tinham,2.7
280,,Alagoas,Rede coletora,10.3
281,,,Fossa séptica,30.1
282,,,Fossa rudimentar,51.4
283,,,Vala,4.1
284,,,"Direto para rio, lago ou mar",0.9
285,,,Outro tipo,0.1
286,,,Não tinham,3.0
287,,Sergipe,Rede coletora,40.2
288,,,Fossa séptica,44.4
289,,,Fossa rudimentar,11.8
290,,,Vala,1.4
291,,,"Direto para rio, lago ou mar",0.3
292,,,Outro tipo,0.1
293,,,Não tinham,1.8
294,,Bahia,Rede coletora,54.7
295,,,Fossa séptica,8.9
296,,,Fossa rudimentar,28.1
297,,,Vala,1.9
298,,,"Direto para rio, lago ou mar",1.8
299,,,Outro tipo,0.2
300,,,Não tinham,4.3
