,Ano,Unidade da Federação,Classes de rendimento mensal domiciliar per capita,% rendimento mensal domiciliar (salários mínimos)
0,2004.0,Rondônia,Até 1/2 salário mínimo,20.3
1,,,Mais de 1/2 a 1 salário mínimo,31.6
2,,,Mais de 1 a 2 salários mínimos,27.5
3,,,Mais de 2 salários mínimos,19.3
4,,Acre,Até 1/2 salário mínimo,31.6
5,,,Mais de 1/2 a 1 salário mínimo,27.3
6,,,Mais de 1 a 2 salários mínimos,19.0
7,,,Mais de 2 salários mínimos,20.6
8,,Amazonas,Até 1/2 salário mínimo,27.7
9,,,Mais de 1/2 a 1 salário mínimo,31.2
10,,,Mais de 1 a 2 salários mínimos,22.2
11,,,Mais de 2 salários mínimos,17.2
12,,Roraima,Até 1/2 salário mínimo,36.4
13,,,Mais de 1/2 a 1 salário mínimo,24.2
14,,,Mais de 1 a 2 salários mínimos,19.1
15,,,Mais de 2 salários mínimos,15.0
16,,Pará,Até 1/2 salário mínimo,31.2
17,,,Mais de 1/2 a 1 salário mínimo,31.7
18,,,Mais de 1 a 2 salários mínimos,20.2
19,,,Mais de 2 salários mínimos,14.6
20,,Amapá,Até 1/2 salário mínimo,33.3
21,,,Mais de 1/2 a 1 salário mínimo,26.2
22,,,Mais de 1 a 2 salários mínimos,21.1
23,,,Mais de 2 salários mínimos,15.1
24,,Tocantins,Até 1/2 salário mínimo,25.6
25,,,Mais de 1/2 a 1 salário mínimo,32.7
26,,,Mais de 1 a 2 salários mínimos,21.1
27,,,Mais de 2 salários mínimos,18.1
28,,Maranhão,Até 1/2 salário mínimo,45.2
29,,,Mais de 1/2 a 1 salário mínimo,27.1
30,,,Mais de 1 a 2 salários mínimos,14.4
31,,,Mais de 2 salários mínimos,10.1
32,,Piauí,Até 1/2 salário mínimo,41.1
33,,,Mais de 1/2 a 1 salário mínimo,28.7
34,,,Mais de 1 a 2 salários mínimos,16.6
35,,,Mais de 2 salários mínimos,12.4
36,,Ceará,Até 1/2 salário mínimo,41.1
37,,,Mais de 1/2 a 1 salário mínimo,28.5
38,,,Mais de 1 a 2 salários mínimos,15.4
39,,,Mais de 2 salários mínimos,12.4
40,,Rio Grande do Norte,Até 1/2 salário mínimo,36.8
41,,,Mais de 1/2 a 1 salário mínimo,29.1
42,,,Mais de 1 a 2 salários mínimos,18.3
43,,,Mais de 2 salários mínimos,14.9
44,,Paraíba,Até 1/2 salário mínimo,39.1
45,,,Mais de 1/2 a 1 salário mínimo,28.6
46,,,Mais de 1 a 2 salários mínimos,17.2
47,,,Mais de 2 salários mínimos,13.3
48,,Pernambuco,Até 1/2 salário mínimo,38.5
49,,,Mais de 1/2 a 1 salário mínimo,29.1
50,,,Mais de 1 a 2 salários mínimos,15.6
51,,,Mais de 2 salários mínimos,13.7
52,,Alagoas,Até 1/2 salário mínimo,45.6
53,,,Mais de 1/2 a 1 salário mínimo,27.5
54,,,Mais de 1 a 2 salários mínimos,13.4
55,,,Mais de 2 salários mínimos,10.8
56,,Sergipe,Até 1/2 salário mínimo,31.6
57,,,Mais de 1/2 a 1 salário mínimo,27.9
58,,,Mais de 1 a 2 salários mínimos,19.1
59,,,Mais de 2 salários mínimos,20.3
60,,Bahia,Até 1/2 salário mínimo,34.3
61,,,Mais de 1/2 a 1 salário mínimo,29.2
62,,,Mais de 1 a 2 salários mínimos,18.2
63,,,Mais de 2 salários mínimos,14.0
64,,Minas Gerais,Até 1/2 salário mínimo,18.9
65,,,Mais de 1/2 a 1 salário mínimo,29.8
66,,,Mais de 1 a 2 salários mínimos,26.7
67,,,Mais de 2 salários mínimos,21.8
68,,Espírito Santo,Até 1/2 salário mínimo,18.7
69,,,Mais de 1/2 a 1 salário mínimo,27.5
70,,,Mais de 1 a 2 salários mínimos,25.1
71,,,Mais de 2 salários mínimos,26.4
72,,Rio de Janeiro,Até 1/2 salário mínimo,11.1
73,,,Mais de 1/2 a 1 salário mínimo,22.1
74,,,Mais de 1 a 2 salários mínimos,27.3
75,,,Mais de 2 salários mínimos,31.9
76,,São Paulo,Até 1/2 salário mínimo,10.2
77,,,Mais de 1/2 a 1 salário mínimo,22.7
78,,,Mais de 1 a 2 salários mínimos,28.6
79,,,Mais de 2 salários mínimos,33.4
80,,Paraná,Até 1/2 salário mínimo,12.3
81,,,Mais de 1/2 a 1 salário mínimo,25.8
82,,,Mais de 1 a 2 salários mínimos,29.8
83,,,Mais de 2 salários mínimos,30.6
84,,Santa Catarina,Até 1/2 salário mínimo,7.5
85,,,Mais de 1/2 a 1 salário mínimo,20.6
86,,,Mais de 1 a 2 salários mínimos,34.2
87,,,Mais de 2 salários mínimos,36.1
88,,Rio Grande do Sul,Até 1/2 salário mínimo,11.7
89,,,Mais de 1/2 a 1 salário mínimo,20.9
90,,,Mais de 1 a 2 salários mínimos,30.2
91,,,Mais de 2 salários mínimos,35.0
92,,Mato Grosso do Sul,Até 1/2 salário mínimo,17.2
93,,,Mais de 1/2 a 1 salário mínimo,31.4
94,,,Mais de 1 a 2 salários mínimos,27.9
95,,,Mais de 2 salários mínimos,22.3
96,,Mato Grosso,Até 1/2 salário mínimo,15.4
97,,,Mais de 1/2 a 1 salário mínimo,28.7
98,,,Mais de 1 a 2 salários mínimos,27.9
99,,,Mais de 2 salários mínimos,26.1
100,,Goiás,Até 1/2 salário mínimo,17.5
101,,,Mais de 1/2 a 1 salário mínimo,31.0
102,,,Mais de 1 a 2 salários mínimos,29.5
103,,,Mais de 2 salários mínimos,20.4
104,,Distrito Federal,Até 1/2 salário mínimo,15.4
105,,,Mais de 1/2 a 1 salário mínimo,19.3
106,,,Mais de 1 a 2 salários mínimos,20.6
107,,,Mais de 2 salários mínimos,40.4
108,2005.0,Rondônia,Até 1/2 salário mínimo,27.8
109,,,Mais de 1/2 a 1 salário mínimo,30.0
110,,,Mais de 1 a 2 salários mínimos,22.4
111,,,Mais de 2 salários mínimos,18.8
112,,Acre,Até 1/2 salário mínimo,33.8
113,,,Mais de 1/2 a 1 salário mínimo,27.1
114,,,Mais de 1 a 2 salários mínimos,19.1
115,,,Mais de 2 salários mínimos,18.9
116,,Amazonas,Até 1/2 salário mínimo,28.9
117,,,Mais de 1/2 a 1 salário mínimo,31.5
118,,,Mais de 1 a 2 salários mínimos,23.1
119,,,Mais de 2 salários mínimos,16.1
120,,Roraima,Até 1/2 salário mínimo,35.1
121,,,Mais de 1/2 a 1 salário mínimo,26.3
122,,,Mais de 1 a 2 salários mínimos,15.4
123,,,Mais de 2 salários mínimos,15.2
124,,Pará,Até 1/2 salário mínimo,34.2
125,,,Mais de 1/2 a 1 salário mínimo,31.8
126,,,Mais de 1 a 2 salários mínimos,19.6
127,,,Mais de 2 salários mínimos,12.3
128,,Amapá,Até 1/2 salário mínimo,29.2
129,,,Mais de 1/2 a 1 salário mínimo,27.1
130,,,Mais de 1 a 2 salários mínimos,23.3
131,,,Mais de 2 salários mínimos,19.6
132,,Tocantins,Até 1/2 salário mínimo,29.9
133,,,Mais de 1/2 a 1 salário mínimo,31.0
134,,,Mais de 1 a 2 salários mínimos,19.7
135,,,Mais de 2 salários mínimos,17.8
136,,Maranhão,Até 1/2 salário mínimo,47.1
137,,,Mais de 1/2 a 1 salário mínimo,31.9
138,,,Mais de 1 a 2 salários mínimos,13.9
139,,,Mais de 2 salários mínimos,6.0
140,,Piauí,Até 1/2 salário mínimo,41.5
141,,,Mais de 1/2 a 1 salário mínimo,27.6
142,,,Mais de 1 a 2 salários mínimos,16.6
143,,,Mais de 2 salários mínimos,12.8
144,,Ceará,Até 1/2 salário mínimo,41.4
