,Ano,Unidade da Federação,Categorias de doenças,Internações relacionadas a saneamento inadequado (a cada 100 mil)
0,2004.0,Rondônia,De transmissão feco-oral,0.0
1,,,Tansmitidas por inseto vetor,0.0
2,,,Transmitidas através do contato com a água,0.0
3,,,Relacionadas com a higiene,0.0
4,,,Geo-helmintos e teníases,0.0
5,,Acre,De transmissão feco-oral,0.0
6,,,Tansmitidas por inseto vetor,0.0
7,,,Transmitidas através do contato com a água,0.0
8,,,Relacionadas com a higiene,0.0
9,,,Geo-helmintos e teníases,0.0
10,,Amazonas,De transmissão feco-oral,0.0
11,,,Tansmitidas por inseto vetor,0.0
12,,,Transmitidas através do contato com a água,0.0
13,,,Relacionadas com a higiene,0.0
14,,,Geo-helmintos e teníases,0.0
15,,Roraima,De transmissão feco-oral,0.0
16,,,Tansmitidas por inseto vetor,0.0
17,,,Transmitidas através do contato com a água,0.0
18,,,Relacionadas com a higiene,0.0
19,,,Geo-helmintos e teníases,0.0
20,,Pará,De transmissão feco-oral,0.0
21,,,Tansmitidas por inseto vetor,0.0
22,,,Transmitidas através do contato com a água,0.0
23,,,Relacionadas com a higiene,0.0
24,,,Geo-helmintos e teníases,0.0
25,,Amapá,De transmissão feco-oral,0.0
26,,,Tansmitidas por inseto vetor,0.0
27,,,Transmitidas através do contato com a água,0.0
28,,,Relacionadas com a higiene,0.0
29,,,Geo-helmintos e teníases,0.0
30,,Tocantins,De transmissão feco-oral,0.0
31,,,Tansmitidas por inseto vetor,0.0
32,,,Transmitidas através do contato com a água,0.0
33,,,Relacionadas com a higiene,0.0
34,,,Geo-helmintos e teníases,0.0
35,,Maranhão,De transmissão feco-oral,0.0
36,,,Tansmitidas por inseto vetor,0.0
37,,,Transmitidas através do contato com a água,0.0
38,,,Relacionadas com a higiene,0.0
39,,,Geo-helmintos e teníases,0.0
40,,Piauí,De transmissão feco-oral,0.0
41,,,Tansmitidas por inseto vetor,0.0
42,,,Transmitidas através do contato com a água,0.0
43,,,Relacionadas com a higiene,0.0
44,,,Geo-helmintos e teníases,0.0
45,,Ceará,De transmissão feco-oral,0.0
46,,,Tansmitidas por inseto vetor,0.0
47,,,Transmitidas através do contato com a água,0.0
48,,,Relacionadas com a higiene,0.0
49,,,Geo-helmintos e teníases,0.0
50,,Rio Grande do Norte,De transmissão feco-oral,0.0
51,,,Tansmitidas por inseto vetor,0.0
52,,,Transmitidas através do contato com a água,0.0
53,,,Relacionadas com a higiene,0.0
54,,,Geo-helmintos e teníases,0.0
55,,Paraíba,De transmissão feco-oral,0.0
56,,,Tansmitidas por inseto vetor,0.0
57,,,Transmitidas através do contato com a água,0.0
58,,,Relacionadas com a higiene,0.0
59,,,Geo-helmintos e teníases,0.0
60,,Pernambuco,De transmissão feco-oral,0.0
61,,,Tansmitidas por inseto vetor,0.0
62,,,Transmitidas através do contato com a água,0.0
63,,,Relacionadas com a higiene,0.0
64,,,Geo-helmintos e teníases,0.0
65,,Alagoas,De transmissão feco-oral,0.0
66,,,Tansmitidas por inseto vetor,0.0
67,,,Transmitidas através do contato com a água,0.0
68,,,Relacionadas com a higiene,0.0
69,,,Geo-helmintos e teníases,0.0
70,,Sergipe,De transmissão feco-oral,0.0
71,,,Tansmitidas por inseto vetor,0.0
72,,,Transmitidas através do contato com a água,0.0
73,,,Relacionadas com a higiene,0.0
74,,,Geo-helmintos e teníases,0.0
75,,Bahia,De transmissão feco-oral,0.0
76,,,Tansmitidas por inseto vetor,0.0
77,,,Transmitidas através do contato com a água,0.0
78,,,Relacionadas com a higiene,0.0
79,,,Geo-helmintos e teníases,0.0
80,,Minas Gerais,De transmissão feco-oral,0.0
81,,,Tansmitidas por inseto vetor,0.0
82,,,Transmitidas através do contato com a água,0.0
